course_name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Business PROFITS with the TRILLION dollar US Hispanic Market,0,0,0,0,0.0526264452856,0,0.628773747378,0,0,0,0,0,0.078406067607,0,0,0,0,0,0,0.0498190067421,0,0.176997070357,0,0,0,0
Mastering and Coping with Obesity - Treatment & Surgery,0,0.105096594232,0,0,0,0,0,0,0,0,0,0,0,0,0.71511138166,0,0,0,0.0719166024916,0,0,0,0,0.0633410086579,0,0
Probabilistic Graphical Models,0,0,0,0,0,0,0,0,0,0,0,0.157388436369,0.248434075975,0.0627502059914,0,0.453267191044,0,0,0,0.0730371217449,0,0,0,0,0,0
Build a Trivia iPhone game that monetizes - Swift and iOS 8,0,0,0.0983693873954,0,0,0,0,0,0,0.649234554301,0.0360206922903,0,0,0.211776703806,0,0,0,0,0,0,0,0,0,0,0,0
"The Book: Monasteries, Schools, and Notaries, Part 1: Reading the Late Medieval Marseille Archive",0,0.568915121924,0,0,0.0788568020589,0,0,0.215822973718,0,0,0,0,0.0518379904874,0,0,0,0,0,0,0.0775437004394,0,0,0,0,0,0
Bitcoin and Cryptocurrency Technologies,0,0.246517100755,0,0,0,0,0,0,0,0,0,0.0943061569578,0.306916642887,0.192207768125,0,0,0,0,0,0,0,0,0.074076146756,0,0.0767083439248,0
Advanced Statistics for the Life Sciences,0,0.527176204058,0,0,0,0,0,0,0,0,0,0,0.020141933338,0,0,0.448642522948,0,0,0,0,0,0,0,0,0,0
Building Cross Platform Apps with Xamarin and C#,0,0,0.162334487549,0,0,0,0,0,0,0,0.436422677396,0.320823254632,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iOS 7 Option Screens for UIView or Sprite Kit Based Apps,0,0,0.636071474624,0,0,0,0,0,0,0.0109543983733,0.136896423525,0.0402294898485,0,0.16784068062,0,0,0,0,0,0,0,0,0,0,0,0
Analytical Chemistry / Instrumental Analysis,0.0451532376171,0,0,0,0,0,0,0,0,0,0,0.0442584069491,0.0889767100593,0,0,0.496761584143,0,0,0.0532420107264,0.0275987720722,0.0647018031191,0,0,0.170250374919,0,0
C++ : Let's Make Hangman in One Hour!,0,0,0.243239731397,0,0,0.287795245834,0,0,0,0,0,0.177773589047,0,0.281576049105,0,0,0,0,0,0,0,0,0,0,0,0
Economics of Cybersecurity,0,0.892636272301,0,0,0,0,0.0918312638909,0,0,0,0,0,0.0132227630651,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vegetable Gardening: How to Grow Healthy, Fresh Food at Home",0.0497997056659,0.034966895495,0,0,0,0,0,0,0,0,0,0,0,0,0.445987990058,0,0,0,0.200679506442,0,0,0.259572926884,0,0,0,0
